word;clarification;classification;endіngs;and;look;from;vars;but
Арцыме́ня;;;;;;;;
Арцямё́нак;;;;;;;;
Арша́ншчына;;;;;;;;
Арывіе́та;;;;;;;;
Арыё́ста;;;;;;Ariosto;;
Арызо́на;;;;;;Arizona;;
Ары́на;;;;;;;;
Арысто́тэль;;;;;;;;
Арыя́дна;;;;;;;;
Арэнбу́рг;;;;;;;;
Арэ́ндт;;;;;;;;
Арэ́ст;;;;;;;;
Арэ́хва;;;;;;;;
Арэ́шка;;;;;;;;
Асі́нскі;;;;;;;;
Асіпе́нка;;;;;;;;
Аска́р;Аска́р Ака́еў;;;;;;;
Аске́рка;;;;;;;;
Аско́льд;;;;;;;;
Асла́н;;;;;;;;
Асмало́ўскі;;;;;;;;
Асо́ўскі;;;;;;;;
Аста́нкіна;;;;;;;;
Астапо́віч;;;;;;;;
Аста́ф’еў;;;;;;;;
Асташо́нак;;;;;;;;
Аста́шын;;;;;;;;
Асташы́нскі;;;;;;;;
Астраве́ц;;;;;;;;
Астраве́ччына;;;;;;;;
Астрамо́віч;;;;;;;;
Астраўцо́ў;;;;;;;;
А́страхань;;;;;;;;
Астро́скі;;;;;;;;
Астро́ўскі;;;;;;;;
Астрэ́йка;;;;;;;;
Астэ́ндэ;<i>м.</i> у Бэльґіі;;;;;Oostende;;
Асы́рыя;;;;;;;;
Асьве́йскі;;;;;;;;
Асьве́нцім;;;;;;Oświęcim;;
Асьве́я;;;;;;;;
Асьцё́р;;;-ра;;;;;
Асэ́тыя;;;;;;;;
Ата́ва;<i>стал.</i> Канады;;;;;Ottawa;;
Атла́нта;<i>м.</i> у ЗША;;;;;Atlanta;;
Атла́нтык-Сі́ты;<i>м.</i> у ЗША;;;;;Atlantic-City;;
Атлянты́да;;;;;;;;
Атля́нтыка;;;;;;;;
Аты́ла;;;;;;Attila;;
Атэнадо́р;;;;;;;;
Атэ́ны;<i>стал.</i> Грэцыі;;;;;Athenai;;
Аўге́н;;;;;;;;
Аўгі́ньня;;;;;;;;
А́ўґуст;;;;;;August;;
Аўґусты́н;;;;;;;;
Аўґусьці́нас;;;;;;Augustinas;;
Аўдзе́енка;;;;;;;;
Аўдзе́й;;;;;;;;
Аўкшто́та;;;;;;;;
Аўла́с;;;;;;;;
Аўраа́м;;;;;;;;
Аўра́м;;;;;;;;
Аўра́менка;;;;;;;;
Аўро́м;;;;;;;;
Аўро́м-А́йзік;;;;;;;;
Аўро́ра;;;;;;;;
Аўрэ́лі;;;;;;;;
Аўстра́лія;;;;;;;;
А́ўстра-Вуго́ршчына;;;;;;;;
А́ўстрыя;;;;;;;;
А́ўстэрліц;;;;;;Austerlitz;;
Аўту́шка;;;;;;;;
А́ўшаў;;;;;;;;
Аўшра́;;;;;;Aušra;;
Афана́сьева;;;;;;;;
Афґаніста́н;;;;;;;;
Афі́ны;;;;;Атэ́ны;;;
Афрады́та;;;;;;;;
А́фрыка;;;-кі, <i>М</i> -рыцы;;;;;
Афэ́лія;;;;;;;;
Ахалцы́х;;;;;;;;
Ахемэні́ды;;;;;;;;
А́хен;<i>м.</i> у Нямеччыне;;-ну, <i>М</i> -не;;;Aachen;;
Ахеро́н;;;;;;;;
Ахіле́с;;;;;;;;
Ахма́нскі;;;;;;;;
Ахмэ́т;;;;;;;;
А́хола-Ва́ла;;;<i>Р</i> А́холы-Ва́ла, <i>ДМ</i> А́холу-Ва́ла, <i>Т</i> А́холам-Ва́ла;;;;;
Ахо́цкі;;;;;;;;
Ахры́дзкі;;;;;;;;
Ахрэ́мчык;;;;;;;;
А́шбэры;;;;;;Ashbury;;
Ашмя́ншчына;;;;;;;;
Ашмя́ны;;;;;;;;
Ашо́т;;;;;;;;
Ашхаба́д;;;;;;;;
Баальбэ́к;<i>м.</i> у Лібане;;;;;Baalbek;;
Бабарэ́ка;;;;;;;;
Бабілё́н;;;;;;Babylon;;
Ба́біч;;;;;;;;
Бабко́ў;;;;;;;;
Бабо́ля;;;;;;;;
Бабро́ўскі;;;;;;;;
Бабру́йск;;;;;;;;
Бабру́йшчына;;;;;;;;
Бава́рыя;;;;;;;;
Багаро́дзіца;;;;;;;;
Бага́цькаўка;;;;;;;;
Багда́д;<i>стал.</i> Іраку;;;;;Baghdad;;
Багда́н;;;;;;;;
Багда́нішкі;;;;;;;;
Багданке́віч;;;;;;;;
Багдано́віч;;;аб Багдано́вічу, <i>чый:</i> Багдано́вічаў;;;;;
Баге́мія;;;;;;;;
Багратыё́н;;;;;;;;
Багры́м;;;;;;;;
